Candidate Name,Citizenship,Degree(s) Attained,Ethnicity,Gender,Languages,Position Type,Position Level,Professional Association,Religion,Experience,Position Start Year,School,City,County,Country,State,US Region,Grade Level
Dillon Fernandez,Canada,Ph.D.,Native American,Male,"Spanish, Arabic, German",Learning Director,Mid,"ACSD, ASCD",Other,28 years,1995,Robinson PLC School,New Roberttown,New Roberttown County,Netherlands Antilles,Alaska,Midwest,K-12
Kyle Preston,UK,"B.S., MBA",Asian,Male,Mandarin,Athletic Director,Senior,"ACSD, ASCD",Other,2 years,2018,"Barnes, Cole and Ramirez School",Lake Debra,Lake Debra County,Trinidad and Tobago,Alabama,West,Elementary
Lindsey Johnson,India,Ph.D.,Asian,Non-binary,"Spanish, Arabic, English",Academic Dean,Mid,"NAIS, NACAC",Other,4 years,2007,Moore-Bernard School,Lake Roberto,Lake Roberto County,Guadeloupe,Connecticut,South,K-12
Michael Valencia,Germany,"B.S., M.A.",Asian,Female,"French, Arabic, English",Admissions Director,Mid,NACAC,Hinduism,13 years,2003,"Baker, Williams and Stevens School",South Colinstad,South Colinstad County,British Virgin Islands,Missouri,Midwest,High School
Alicia Hubbard,USA,MBA,White,Non-binary,"French, English",Counselor,Senior,SHRM,Hinduism,13 years,2023,"Lee, Jones and Stanley School",New Kellystad,New Kellystad County,Sierra Leone,Maine,West,Middle
Laura Hines,UK,B.S.,Two or more races,Non-binary,"German, Mandarin, Hindi",Learning Director,Senior,NACAC,Buddhism,16 years,1997,Ramirez-Reid School,Port Jesseville,Port Jesseville County,Haiti,Hawaii,Northeast,Elementary
Joseph Ramos,Canada,"B.S., Ed.D., M.S.",Native American,Male,"Mandarin, German",HR Manager,Senior,SHRM,None,4 years,2016,"Zuniga, Wong and Lynch School",Michaelview,Michaelview County,Chile,Ohio,South,High School
Zachary Graham,USA,"M.S., B.S.",Hispanic or Latino,Male,"Arabic, French, German",Communications Director,Entry,"ISTE, SHRM",Buddhism,20 years,2001,Mayo-Bowman School,East Steven,East Steven County,Micronesia,Iowa,Midwest,High School
Tracy Harrison,Canada,"MBA, Ph.D., B.A.",Native American,Non-binary,"English, Hindi",Finance Director,Senior,NAIS,Islam,29 years,2013,Underwood LLC School,Meganton,Meganton County,Iran,Louisiana,Northeast,Elementary
Frank Garcia,Germany,"MBA, B.A.",Native American,Female,Arabic,HR Manager,Mid,"ACSD, ISTE",Hinduism,7 years,2024,"Edwards, Rios and Foster School",East Robinshire,East Robinshire County,United States Virgin Islands,Tennessee,Midwest,High School
Jason Simpson,India,"Ed.D., M.A., M.S.",Native American,Prefer not to say,Spanish,Counselor,Entry,"NAIS, ACSD",Buddhism,8 years,2013,Mcgee PLC School,Thomasberg,Thomasberg County,Estonia,West Virginia,Midwest,Elementary
Jennifer Hodges,USA,"Ed.D., B.A., B.S.",White,Male,"English, German",Counselor,Senior,"NACAC, ACSD",Islam,24 years,2024,Robinson-Bright School,Hurstfurt,Hurstfurt County,Madagascar,New York,West,Middle
Brandon King,India,"B.S., B.A.",White,Prefer not to say,"Mandarin, Hindi",HR Manager,Entry,NAIS,Hinduism,24 years,2005,Burton Ltd School,Port Brandonville,Port Brandonville County,Jamaica,Rhode Island,Northeast,Middle
Raymond Hancock,Canada,Ph.D.,Hispanic or Latino,Female,"Spanish, French",HR Manager,Mid,NCTM,Other,28 years,2022,"King, Tran and Dunlap School",South Patrickmouth,South Patrickmouth County,Pitcairn Islands,Washington,Northeast,Elementary
April Booth,Germany,"MBA, B.A., Ed.D.",Black or African American,Female,"Mandarin, Hindi",Counselor,Executive,NACAC,Hinduism,1 years,2007,"Peterson, Carter and Moore School",Lake Nicoleview,Lake Nicoleview County,Afghanistan,Washington,South,K-12
Anthony Stone,UK,"Ed.D., MBA",Native American,Prefer not to say,Spanish,Computer Science Teacher,Mid,ACSD,None,18 years,1996,"Gaines, Harrell and Evans School",Teresaburgh,Teresaburgh County,Northern Mariana Islands,North Carolina,South,Elementary
Kathleen Ramos,USA,"M.S., Ph.D., Ed.D.",Black or African American,Male,"English, Spanish, Hindi",Admissions Director,Entry,NCTM,Christianity,29 years,2013,Ryan PLC School,East Nathaniel,East Nathaniel County,Uruguay,Alabama,Midwest,Elementary
Derek Anderson,Australia,M.S.,Two or more races,Non-binary,"Spanish, Arabic",Finance Director,Mid,"NCTM, NACAC",None,21 years,2004,Koch-Decker School,Tracyville,Tracyville County,Gambia,Kansas,West,High School
Stanley Washington,USA,M.S.,Native American,Male,German,Counselor,Senior,ASCD,Christianity,29 years,2002,Dennis Inc School,East Natalieland,East Natalieland County,Senegal,Ohio,South,High School
Mark Lloyd,Canada,"MBA, Ph.D.",Two or more races,Non-binary,"Hindi, Arabic, German",Academic Dean,Senior,NACAC,Judaism,4 years,2023,"Martin, Rose and Obrien School",East Donna,East Donna County,Croatia,Ohio,Northeast,Middle
Emily Smith,UK,"Ph.D., B.S.",Two or more races,Non-binary,Arabic,Computer Science Teacher,Executive,"ISTE, NAIS",Christianity,21 years,2008,"Santos, Kim and Holmes School",Lake Larry,Lake Larry County,British Indian Ocean Territory (Chagos Archipelago),Kansas,South,Elementary
Danny Skinner,USA,"MBA, B.S.",Two or more races,Non-binary,Arabic,HR Manager,Executive,NAIS,Christianity,29 years,2017,"Spencer, Chapman and Smith School",North Matthew,North Matthew County,Russian Federation,South Dakota,Midwest,Elementary
Travis Holland,UK,"Ph.D., B.S., M.S.",Black or African American,Male,"French, English",Finance Director,Mid,SHRM,Christianity,12 years,2019,Jones-Young School,East Carloston,East Carloston County,Paraguay,New York,West,Middle
Timothy Carter,Canada,MBA,Black or African American,Prefer not to say,Spanish,Finance Director,Executive,ASCD,Islam,26 years,2017,"Johnston, Sanchez and Kennedy School",New David,New David County,Ireland,Illinois,Northeast,K-12
Jennifer Olson,USA,"B.S., MBA",Hispanic or Latino,Non-binary,"Hindi, Spanish",Counselor,Entry,NCTM,Judaism,9 years,2022,Jenkins-Shields School,North Donnastad,North Donnastad County,Austria,Utah,Northeast,High School
Jesus Thomas,UK,"Ph.D., M.S., MBA",Asian,Male,French,Communications Director,Senior,NAIS,Buddhism,14 years,2006,Wright and Sons School,North Richardmouth,North Richardmouth County,Martinique,New Hampshire,South,K-12
Kyle Francis,Australia,"B.A., M.S., Ph.D.",Black or African American,Non-binary,Arabic,Learning Director,Entry,ASCD,Hinduism,3 years,2016,Wright-Leblanc School,South Isaiah,South Isaiah County,Kenya,Oklahoma,South,High School
Benjamin Barton,Germany,Ed.D.,Asian,Non-binary,"Mandarin, French, Hindi",Computer Science Teacher,Mid,NCTM,None,13 years,2016,Novak and Sons School,North Deniseside,North Deniseside County,Chad,Nebraska,Midwest,High School
Gina French,India,"MBA, B.A., M.A.",Asian,Female,"Hindi, German",Admissions Director,Senior,"NCTM, ISTE",None,7 years,2011,Martin Inc School,Olsonfurt,Olsonfurt County,Iceland,Kentucky,West,Middle
Aaron Barber,Germany,M.A.,Native American,Non-binary,Hindi,Counselor,Senior,ISTE,Islam,5 years,1995,"Higgins, Moore and Phillips School",Mitchellside,Mitchellside County,Azerbaijan,Pennsylvania,Northeast,Middle
Lauren Keller,India,"MBA, B.A., M.S.",Hispanic or Latino,Female,"Arabic, Mandarin, Hindi",Learning Director,Mid,SHRM,None,1 years,2023,"Woods, Calhoun and Schmidt School",Lake Leeton,Lake Leeton County,Azerbaijan,North Carolina,Northeast,K-12
Jill Washington,Canada,MBA,Two or more races,Prefer not to say,German,Counselor,Entry,"NACAC, NCTM",None,17 years,2012,"Hensley, Powell and David School",Port Jacobland,Port Jacobland County,Mongolia,Kansas,South,K-12
Phillip Bennett,Australia,"Ph.D., M.S., MBA",Hispanic or Latino,Female,"Hindi, Mandarin, Arabic",Computer Science Teacher,Mid,"ISTE, ACSD",Hinduism,21 years,2002,"Mills, Donovan and Harris School",New Christophershire,New Christophershire County,Saint Barthelemy,Massachusetts,South,K-12
Sheila Pollard,USA,"M.A., B.S., MBA",Asian,Non-binary,"English, Spanish, Arabic",Counselor,Executive,SHRM,Islam,3 years,2008,"Brewer, Bryant and Hickman School",West Randy,West Randy County,Vietnam,California,West,High School
James Chase,Australia,"M.S., B.A.",Black or African American,Prefer not to say,"Hindi, German",Academic Dean,Executive,"NAIS, ASCD",Judaism,25 years,2007,Jones and Sons School,South Christineshire,South Christineshire County,Macedonia,Kentucky,West,Middle
Evan Kennedy,India,M.A.,Hispanic or Latino,Prefer not to say,Mandarin,Finance Director,Executive,ISTE,Hinduism,30 years,1999,Wood and Sons School,West Nicole,West Nicole County,Kazakhstan,Ohio,Northeast,K-12
Jane Mcneil,Australia,"Ed.D., B.A., MBA",Two or more races,Prefer not to say,Hindi,HR Manager,Mid,ASCD,Hinduism,11 years,2001,Contreras PLC School,Cherylhaven,Cherylhaven County,French Southern Territories,Texas,West,High School
Marissa Hernandez,UK,"M.A., M.S.",Asian,Male,"English, Arabic",Science Teacher,Entry,"NACAC, SHRM",Christianity,25 years,2015,"Tran, Nelson and Jacobs School",East Josephville,East Josephville County,Saint Barthelemy,Michigan,Northeast,Elementary
Beth Sanford,Canada,MBA,White,Female,Spanish,HR Manager,Entry,NCTM,None,9 years,2019,Wagner-King School,Lake Cynthia,Lake Cynthia County,United States of America,Arkansas,South,Middle
Brian Kirk,Australia,"Ed.D., MBA, B.A.",Black or African American,Non-binary,German,Academic Dean,Senior,"NCTM, SHRM",Islam,3 years,2013,Smith and Sons School,Lake Rodneyview,Lake Rodneyview County,Northern Mariana Islands,Kentucky,Midwest,Elementary
Thomas Smith,Germany,"MBA, Ed.D.",Native American,Male,"Hindi, English, French",Science Teacher,Executive,"NAIS, ACSD",None,11 years,1995,"Patterson, Smith and Jones School",Lake Scott,Lake Scott County,Turks and Caicos Islands,Vermont,West,K-12
Seth Booker,USA,"M.A., Ed.D.",Hispanic or Latino,Female,"Spanish, Arabic",Science Teacher,Senior,"NCTM, ISTE",Other,24 years,2013,Aguilar-Hernandez School,New Barry,New Barry County,Brunei Darussalam,Arizona,South,High School
Richard Baker,Canada,M.A.,Hispanic or Latino,Female,"German, Hindi",Learning Director,Senior,NCTM,Other,11 years,2000,Clark-Wright School,Michaelton,Michaelton County,Bosnia and Herzegovina,Minnesota,West,Middle
Jennifer Miller,UK,"M.A., MBA",Native American,Non-binary,"English, German, Spanish",Athletic Director,Mid,"NCTM, ACSD",Other,8 years,2017,Hancock and Sons School,Dicksonberg,Dicksonberg County,Turkmenistan,Nebraska,West,K-12
Michael Ferguson,India,B.A.,Asian,Female,"Arabic, Spanish",Computer Science Teacher,Senior,"ACSD, ISTE",Judaism,14 years,2018,Pham-Shields School,East Jillmouth,East Jillmouth County,Sudan,Kansas,South,High School
Lori Clay,Germany,"M.A., MBA",Asian,Female,Arabic,Counselor,Senior,SHRM,Buddhism,25 years,2017,Brennan-Garrison School,Erikville,Erikville County,Cyprus,Illinois,Midwest,Middle
Joshua Williamson II,Canada,"M.S., M.A., Ph.D.",Native American,Non-binary,Hindi,Counselor,Senior,ASCD,Islam,10 years,1995,Johnson and Sons School,Baileybury,Baileybury County,Iran,Michigan,Midwest,High School
Donna Perez,USA,Ph.D.,Asian,Female,"Hindi, Mandarin, English",Academic Dean,Senior,"NCTM, ISTE",Judaism,6 years,1996,May-Ross School,Michelleview,Michelleview County,Tajikistan,Ohio,South,K-12
William Hodges,USA,M.S.,Hispanic or Latino,Male,"Arabic, Hindi, English",Communications Director,Mid,"NAIS, NACAC",Christianity,18 years,2019,White-Estes School,Sheilaville,Sheilaville County,Estonia,Arizona,West,Middle
Ashlee Jackson,Australia,"M.S., MBA",Asian,Prefer not to say,"German, Hindi",Academic Dean,Entry,SHRM,Islam,9 years,2016,Obrien-Dixon School,New Ryanmouth,New Ryanmouth County,Hungary,Oregon,Northeast,Middle
Allen Nguyen,Canada,Ph.D.,White,Female,Mandarin,HR Manager,Executive,"NAIS, NACAC",Judaism,23 years,2004,Smith-Frost School,West Bradley,West Bradley County,Martinique,Utah,West,Elementary
Ian Jordan,Germany,M.A.,Two or more races,Female,"English, German",Counselor,Mid,"ISTE, NACAC",Christianity,2 years,2000,"Mccall, Hanson and Alvarado School",West Ryan,West Ryan County,British Virgin Islands,Washington,South,High School
Jason Maldonado,India,M.S.,Two or more races,Non-binary,"Mandarin, French, German",Science Teacher,Executive,"NAIS, ACSD",Christianity,29 years,2008,Powell-Phillips School,Williamchester,Williamchester County,Brunei Darussalam,Illinois,South,High School
